target_id,intended_target_gene_id,intended_target_entrez_gene_id,intended_target_official_full_name,intended_target_gene_name,intended_target_official_symbol,intended_target_gene_symbol,intended_target_description,intended_target_uniprot_accession_number,intended_target_organism_id,intended_target_track_status,technological_target_gene_id,technological_target_entrez_gene_id,technological_target_official_full_name,technological_target_gene_name,technological_target_official_symbol,technological_target_gene_symbol,technological_target_description,technological_target_uniprot_accession_number,technological_target_organism_id,technological_target_track_status
332,15,153,adrenoceptor beta 1,adrenoceptor beta 1,ADRB1,ADRB1,\N,P08588,1,live,15,153,adrenoceptor beta 1,adrenoceptor beta 1,ADRB1,ADRB1,\N,P08588,1,live
333,16,154,"adrenoceptor beta 2, surface","adrenoceptor beta 2, surface",ADRB2,ADRB2,\N,P07550,1,live,16,154,"adrenoceptor beta 2, surface","adrenoceptor beta 2, surface",ADRB2,ADRB2,\N,P07550,1,live
334,17,155,adrenoceptor beta 3,adrenoceptor beta 3,ADRB3,ADRB3,\N,P13945,1,live,17,155,adrenoceptor beta 3,adrenoceptor beta 3,ADRB3,ADRB3,\N,P13945,1,live
335,19,185,"angiotensin II receptor, type 1","angiotensin II receptor, type 1",AGTR1,AGTR1,\N,P30556,1,live,19,185,"angiotensin II receptor, type 1","angiotensin II receptor, type 1",AGTR1,AGTR1,\N,P30556,1,live
336,38,728,complement component 5a receptor 1,complement component 5a receptor 1,C5AR1,C5AR1,\N,P21730,1,live,38,728,complement component 5a receptor 1,complement component 5a receptor 1,C5AR1,C5AR1,\N,P21730,1,live
337,99,1812,dopamine receptor D1,dopamine receptor D1,DRD1,DRD1,\N,P21728,1,live,99,1812,dopamine receptor D1,dopamine receptor D1,DRD1,DRD1,\N,P21728,1,live
338,100,1813,dopamine receptor D2,dopamine receptor D2,DRD2,DRD2,\N,P14416,1,live,100,1813,dopamine receptor D2,dopamine receptor D2,DRD2,DRD2,\N,P14416,1,live
339,101,1815,dopamine receptor D4,dopamine receptor D4,DRD4,DRD4,\N,P21917,1,live,101,1815,dopamine receptor D4,dopamine receptor D4,DRD4,DRD4,\N,P21917,1,live
340,105,1909,endothelin receptor type A,endothelin receptor type A,EDNRA,EDNRA,\N,P25101,1,live,105,1909,endothelin receptor type A,endothelin receptor type A,EDNRA,EDNRA,\N,P25101,1,live
341,106,1910,endothelin receptor type B,endothelin receptor type B,EDNRB,EDNRB,\N,P24530,1,live,106,1910,endothelin receptor type B,endothelin receptor type B,EDNRB,EDNRB,\N,P24530,1,live
342,160,3269,histamine receptor H1,histamine receptor H1,HRH1,HRH1,\N,P35367,1,live,160,3269,histamine receptor H1,histamine receptor H1,HRH1,HRH1,\N,P35367,1,live
343,68,1241,leukotriene B4 receptor,leukotriene B4 receptor,LTB4R,LTB4R,\N,Q15722,1,live,68,1241,leukotriene B4 receptor,leukotriene B4 receptor,LTB4R,LTB4R,\N,Q15722,1,live
344,61,1128,"cholinergic receptor, muscarinic 1","cholinergic receptor, muscarinic 1",CHRM1,CHRM1,\N,P11229,1,live,61,1128,"cholinergic receptor, muscarinic 1","cholinergic receptor, muscarinic 1",CHRM1,CHRM1,\N,P11229,1,live
345,62,1129,"cholinergic receptor, muscarinic 2","cholinergic receptor, muscarinic 2",CHRM2,CHRM2,\N,P08172,1,live,62,1129,"cholinergic receptor, muscarinic 2","cholinergic receptor, muscarinic 2",CHRM2,CHRM2,\N,P08172,1,live
346,63,1131,"cholinergic receptor, muscarinic 3","cholinergic receptor, muscarinic 3",CHRM3,CHRM3,\N,P20309,1,live,63,1131,"cholinergic receptor, muscarinic 3","cholinergic receptor, muscarinic 3",CHRM3,CHRM3,\N,P20309,1,live
347,64,1132,"cholinergic receptor, muscarinic 4","cholinergic receptor, muscarinic 4",CHRM4,CHRM4,\N,P08173,1,live,64,1132,"cholinergic receptor, muscarinic 4","cholinergic receptor, muscarinic 4",CHRM4,CHRM4,\N,P08173,1,live
348,65,1133,"cholinergic receptor, muscarinic 5","cholinergic receptor, muscarinic 5",CHRM5,CHRM5,\N,P08912,1,live,65,1133,"cholinergic receptor, muscarinic 5","cholinergic receptor, muscarinic 5",CHRM5,CHRM5,\N,P08912,1,live
349,309,6865,tachykinin receptor 2,tachykinin receptor 2,TACR2,TACR2,\N,P21452,1,live,309,6865,tachykinin receptor 2,tachykinin receptor 2,TACR2,TACR2,\N,P21452,1,live
350,219,4886,neuropeptide Y receptor Y1,neuropeptide Y receptor Y1,NPY1R,NPY1R,\N,P25929,1,live,219,4886,neuropeptide Y receptor Y1,neuropeptide Y receptor Y1,NPY1R,NPY1R,\N,P25929,1,live
351,220,4887,neuropeptide Y receptor Y2,neuropeptide Y receptor Y2,NPY2R,NPY2R,\N,P49146,1,live,220,4887,neuropeptide Y receptor Y2,neuropeptide Y receptor Y2,NPY2R,NPY2R,\N,P49146,1,live
352,223,4923,neurotensin receptor 1 (high affinity),neurotensin receptor 1 (high affinity),NTSR1,NTSR1,\N,P30989,1,live,223,4923,neurotensin receptor 1 (high affinity),neurotensin receptor 1 (high affinity),NTSR1,NTSR1,\N,P30989,1,live
353,225,4985,"opioid receptor, delta 1","opioid receptor, delta 1",OPRD1,OPRD1,\N,P41143,1,live,225,4985,"opioid receptor, delta 1","opioid receptor, delta 1",OPRD1,OPRD1,\N,P41143,1,live
354,227,4988,"opioid receptor, mu 1","opioid receptor, mu 1",OPRM1,OPRM1,\N,P35372,1,live,227,4988,"opioid receptor, mu 1","opioid receptor, mu 1",OPRM1,OPRM1,\N,P35372,1,live
355,226,4987,opiate receptor-like 1,opiate receptor-like 1,OPRL1,OPRL1,\N,P41146,1,live,226,4987,opiate receptor-like 1,opiate receptor-like 1,OPRL1,OPRL1,\N,P41146,1,live
356,228,5028,"purinergic receptor P2Y, G-protein coupled, 1","purinergic receptor P2Y, G-protein coupled, 1",P2RY1,P2RY1,\N,P47900,1,live,228,5028,"purinergic receptor P2Y, G-protein coupled, 1","purinergic receptor P2Y, G-protein coupled, 1",P2RY1,P2RY1,\N,P47900,1,live
357,310,6915,thromboxane A2 receptor,thromboxane A2 receptor,TBXA2R,TBXA2R,\N,P21731,1,live,310,6915,thromboxane A2 receptor,thromboxane A2 receptor,TBXA2R,TBXA2R,\N,P21731,1,live
358,29,552,arginine vasopressin receptor 1A,arginine vasopressin receptor 1A,AVPR1A,AVPR1A,\N,P37288,1,live,29,552,arginine vasopressin receptor 1A,arginine vasopressin receptor 1A,AVPR1A,AVPR1A,\N,P37288,1,live
359,370,12425,cholecystokinin A receptor,cholecystokinin A receptor,Cckar,Cckar,\N,O08786,2,live,370,12425,cholecystokinin A receptor,cholecystokinin A receptor,Cckar,Cckar,\N,O08786,2,live
360,371,12426,cholecystokinin B receptor,cholecystokinin B receptor,Cckbr,Cckbr,\N,P56481,2,live,371,12426,cholecystokinin B receptor,cholecystokinin B receptor,Cckbr,Cckbr,\N,P56481,2,live
361,165,3358,"5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",HTR2C,HTR2C,\N,P28335,1,live,165,3358,"5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled","5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled",HTR2C,HTR2C,\N,P28335,1,live
362,390,24473,"5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled","5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled",Htr1a,Htr1a,\N,P19327,3,live,390,24473,"5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled","5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled",Htr1a,Htr1a,\N,P19327,3,live
363,475,100354046,\N,platelet-activating factor receptor,\N,PTAFR,model,\N,9,live,475,100354046,\N,platelet-activating factor receptor,\N,PTAFR,model,\N,9,live
364,419,29412,adrenoceptor alpha 1A,adrenoceptor alpha 1A,Adra1a,Adra1a,\N,P43140,3,live,419,29412,adrenoceptor alpha 1A,adrenoceptor alpha 1A,Adra1a,Adra1a,\N,P43140,3,live
365,379,24173,adrenoceptor alpha 1B,adrenoceptor alpha 1B,Adra1b,Adra1b,\N,P15823,3,live,379,24173,adrenoceptor alpha 1B,adrenoceptor alpha 1B,Adra1b,Adra1b,\N,P15823,3,live
366,402,25083,adrenoceptor alpha 2A,adrenoceptor alpha 2A,Adra2a,Adra2a,\N,P22909,3,live,402,25083,adrenoceptor alpha 2A,adrenoceptor alpha 2A,Adra2a,Adra2a,\N,P22909,3,live
367,398,24925,adrenoceptor beta 1,adrenoceptor beta 1,Adrb1,Adrb1,\N,P18090,3,live,398,24925,adrenoceptor beta 1,adrenoceptor beta 1,Adrb1,Adrb1,\N,P18090,3,live
368,431,58959,corticotropin releasing hormone receptor 1,corticotropin releasing hormone receptor 1,Crhr1,Crhr1,\N,P35353,3,live,431,58959,corticotropin releasing hormone receptor 1,corticotropin releasing hormone receptor 1,Crhr1,Crhr1,\N,P35353,3,live
369,437,81657,gamma-aminobutyric acid (GABA) B receptor 1,gamma-aminobutyric acid (GABA) B receptor 1,Gabbr1,Gabbr1,\N,Q9Z0U4,3,live,437,81657,gamma-aminobutyric acid (GABA) B receptor 1,gamma-aminobutyric acid (GABA) B receptor 1,Gabbr1,Gabbr1,\N,Q9Z0U4,3,live
370,423,50577,galanin receptor 1,galanin receptor 1,Galr1,Galr1,\N,Q62805,3,live,423,50577,galanin receptor 1,galanin receptor 1,Galr1,Galr1,\N,Q62805,3,live
371,454,306771,tetraspanin 17,tetraspanin 17,Tspan17,Tspan17,\N,Q4V8E0,3,live,454,306771,tetraspanin 17,tetraspanin 17,Tspan17,Tspan17,\N,Q4V8E0,3,live
372,442,85268,histamine receptor H3,histamine receptor H3,Hrh3,Hrh3,\N,Q9QYN8,3,live,442,85268,histamine receptor H3,histamine receptor H3,Hrh3,Hrh3,\N,Q9QYN8,3,live
373,380,24174,adrenoceptor alpha 2B,adrenoceptor alpha 2B,Adra2b,Adra2b,\N,P19328,3,live,380,24174,adrenoceptor alpha 2B,adrenoceptor alpha 2B,Adra2b,Adra2b,\N,P19328,3,live
374,388,24414,"glutamate receptor, metabotropic 1","glutamate receptor, metabotropic 1",Grm1,Grm1,\N,P23385,3,live,388,24414,"glutamate receptor, metabotropic 1","glutamate receptor, metabotropic 1",Grm1,Grm1,\N,P23385,3,live
375,389,24418,"glutamate receptor, metabotropic 5","glutamate receptor, metabotropic 5",Grm5,Grm5,\N,P31424,3,live,389,24418,"glutamate receptor, metabotropic 5","glutamate receptor, metabotropic 5",Grm5,Grm5,\N,P31424,3,live
376,393,24807,tachykinin receptor 1,tachykinin receptor 1,Tacr1,Tacr1,\N,P14600,3,live,393,24807,tachykinin receptor 1,tachykinin receptor 1,Tacr1,Tacr1,\N,P14600,3,live
377,394,24808,tachykinin receptor 3,tachykinin receptor 3,Tacr3,Tacr3,\N,P16177,3,live,394,24808,tachykinin receptor 3,tachykinin receptor 3,Tacr3,Tacr3,\N,P16177,3,live
378,455,366274,neurotensin receptor 1,neurotensin receptor 1,Ntsr1,Ntsr1,\N,P20789,3,live,455,366274,neurotensin receptor 1,neurotensin receptor 1,Ntsr1,Ntsr1,\N,P20789,3,live
379,411,25601,"opioid receptor, mu 1","opioid receptor, mu 1",Oprm1,Oprm1,\N,P33535,3,live,411,25601,"opioid receptor, mu 1","opioid receptor, mu 1",Oprm1,Oprm1,\N,P33535,3,live
380,406,25342,oxytocin receptor,oxytocin receptor,Oxtr,Oxtr,\N,P70536,3,live,406,25342,oxytocin receptor,oxytocin receptor,Oxtr,Oxtr,\N,P70536,3,live
381,400,25033,somatostatin receptor 1,somatostatin receptor 1,Sstr1,Sstr1,\N,P28646,3,live,400,25033,somatostatin receptor 1,somatostatin receptor 1,Sstr1,Sstr1,\N,P28646,3,live
382,410,25570,thyrotropin releasing hormone receptor,thyrotropin releasing hormone receptor,Trhr,Trhr,\N,Q01717,3,live,410,25570,thyrotropin releasing hormone receptor,thyrotropin releasing hormone receptor,Trhr,Trhr,\N,Q01717,3,live
383,404,25107,arginine vasopressin receptor 1A,arginine vasopressin receptor 1A,Avpr1a,Avpr1a,\N,P30560,3,live,404,25107,arginine vasopressin receptor 1A,arginine vasopressin receptor 1A,Avpr1a,Avpr1a,\N,P30560,3,live
384,395,24875,vasoactive intestinal peptide receptor 1,vasoactive intestinal peptide receptor 1,Vipr1,Vipr1,\N,P30083,3,live,395,24875,vasoactive intestinal peptide receptor 1,vasoactive intestinal peptide receptor 1,Vipr1,Vipr1,\N,P30083,3,live
385,184,3757,"potassium voltage-gated channel, subfamily H (eag-related), member 2","potassium voltage-gated channel, subfamily H (eag-related), member 2",KCNH2,KCNH2,\N,Q12809,1,live,184,3757,"potassium voltage-gated channel, subfamily H (eag-related), member 2","potassium voltage-gated channel, subfamily H (eag-related), member 2",KCNH2,KCNH2,\N,Q12809,1,live
386,407,25398,\N,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",\N,Cacna1a,\N,P54282,3,live,407,25398,\N,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",\N,Cacna1a,\N,P54282,3,live
387,446,257648,"calcium channel, voltage-dependent, N type, alpha 1B subunit","calcium channel, voltage-dependent, N type, alpha 1B subunit",Cacna1b,Cacna1b,\N,Q02294,3,live,446,257648,"calcium channel, voltage-dependent, N type, alpha 1B subunit","calcium channel, voltage-dependent, N type, alpha 1B subunit",Cacna1b,Cacna1b,\N,Q02294,3,live
388,420,29559,"glutamate receptor, ionotropic, kainate 1","glutamate receptor, ionotropic, kainate 1",Grik1,Grik1,\N,P22756,3,live,420,29559,"glutamate receptor, ionotropic, kainate 1","glutamate receptor, ionotropic, kainate 1",Grik1,Grik1,\N,P22756,3,live
389,391,24521,"potassium inwardly-rectifying channel, subfamily J, member 1","potassium inwardly-rectifying channel, subfamily J, member 1",Kcnj1,Kcnj1,\N,P35560,3,live,391,24521,"potassium inwardly-rectifying channel, subfamily J, member 1","potassium inwardly-rectifying channel, subfamily J, member 1",Kcnj1,Kcnj1,\N,P35560,3,live
390,428,54261,\N,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1",\N,Kcnn1,provisional,P70606,3,live,428,54261,\N,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1",\N,Kcnn1,provisional,P70606,3,live
391,436,81574,"sodium channel, voltage-gated, type I, alpha subunit","sodium channel, voltage-gated, type I, alpha subunit",Scn1a,Scn1a,\N,P04774,3,live,436,81574,"sodium channel, voltage-gated, type I, alpha subunit","sodium channel, voltage-gated, type I, alpha subunit",Scn1a,Scn1a,\N,P04774,3,live
392,465,780973,"gamma-aminobutyric acid (GABA) A receptor, alpha 1","gamma-aminobutyric acid (GABA) A receptor, alpha 1",GABRA1,GABRA1,\N,P08219,4,live,465,780973,"gamma-aminobutyric acid (GABA) A receptor, alpha 1","gamma-aminobutyric acid (GABA) A receptor, alpha 1",GABRA1,GABRA1,\N,P08219,4,live
393,463,523515,"gamma-aminobutyric acid (GABA) A receptor, alpha 5","gamma-aminobutyric acid (GABA) A receptor, alpha 5",GABRA5,GABRA5,\N,Q08E50,4,live,463,523515,"gamma-aminobutyric acid (GABA) A receptor, alpha 5","gamma-aminobutyric acid (GABA) A receptor, alpha 5",GABRA5,GABRA5,\N,Q08E50,4,live
394,166,3359,"5-hydroxytryptamine (serotonin) receptor 3A, ionotropic","5-hydroxytryptamine (serotonin) receptor 3A, ionotropic",HTR3A,HTR3A,\N,P46098,1,live,166,3359,"5-hydroxytryptamine (serotonin) receptor 3A, ionotropic","5-hydroxytryptamine (serotonin) receptor 3A, ionotropic",HTR3A,HTR3A,\N,P46098,1,live
395,66,1135,"cholinergic receptor, nicotinic, alpha 2 (neuronal)","cholinergic receptor, nicotinic, alpha 2 (neuronal)",CHRNA2,CHRNA2,\N,Q15822,1,live,66,1135,"cholinergic receptor, nicotinic, alpha 2 (neuronal)","cholinergic receptor, nicotinic, alpha 2 (neuronal)",CHRNA2,CHRNA2,\N,Q15822,1,live
396,424,50592,"glutamate receptor, ionotropic, AMPA 1","glutamate receptor, ionotropic, AMPA 1",Gria1,Gria1,\N,P19490,3,live,424,50592,"glutamate receptor, ionotropic, AMPA 1","glutamate receptor, ionotropic, AMPA 1",Gria1,Gria1,\N,P19490,3,live
397,421,29705,"gamma-aminobutyric acid (GABA) A receptor, alpha 1","gamma-aminobutyric acid (GABA) A receptor, alpha 1",Gabra1,Gabra1,\N,P62813,3,live,421,29705,"gamma-aminobutyric acid (GABA) A receptor, alpha 1","gamma-aminobutyric acid (GABA) A receptor, alpha 1",Gabra1,Gabra1,\N,P62813,3,live
398,422,29708,"gamma-aminobutyric acid (GABA) A receptor, alpha 6","gamma-aminobutyric acid (GABA) A receptor, alpha 6",Gabra6,Gabra6,\N,P30191,3,live,422,29708,"gamma-aminobutyric acid (GABA) A receptor, alpha 6","gamma-aminobutyric acid (GABA) A receptor, alpha 6",Gabra6,Gabra6,\N,P30191,3,live
399,387,24408,"glutamate receptor, ionotropic, N-methyl D-aspartate 1","glutamate receptor, ionotropic, N-methyl D-aspartate 1",Grin1,Grin1,\N,P35439,3,live,387,24408,"glutamate receptor, ionotropic, N-methyl D-aspartate 1","glutamate receptor, ionotropic, N-methyl D-aspartate 1",Grin1,Grin1,\N,P35439,3,live
400,414,25674,"glycine receptor, alpha 1","glycine receptor, alpha 1",Glra1,Glra1,\N,P07727,3,live,414,25674,"glycine receptor, alpha 1","glycine receptor, alpha 1",Glra1,Glra1,\N,P07727,3,live
401,405,25302,"cholinergic receptor, nicotinic, alpha 7 (neuronal)","cholinergic receptor, nicotinic, alpha 7 (neuronal)",Chrna7,Chrna7,\N,Q05941,3,live,405,25302,"cholinergic receptor, nicotinic, alpha 7 (neuronal)","cholinergic receptor, nicotinic, alpha 7 (neuronal)",Chrna7,Chrna7,\N,Q05941,3,live
402,37,706,translocator protein (18kDa),translocator protein (18kDa),TSPO,TSPO,\N,P30536,1,live,37,706,translocator protein (18kDa),translocator protein (18kDa),TSPO,TSPO,\N,P30536,1,live
403,382,24230,translocator protein,translocator protein,Tspo,Tspo,\N,P16257,3,live,382,24230,translocator protein,translocator protein,Tspo,Tspo,\N,P16257,3,live
404,459,407238,\N,estrogen receptor 1,\N,ESR1,provisional,P49884,4,live,459,407238,\N,estrogen receptor 1,\N,ESR1,provisional,P49884,4,live
405,479,100848466,\N,progesterone receptor-like,\N,PGR,provisional,\N,4,live,479,100848466,\N,progesterone receptor-like,\N,PGR,provisional,\N,4,live
406,464,747460,\N,androgen receptor,\N,AR,provisional,O97775,7,live,464,747460,\N,androgen receptor,\N,AR,provisional,O97775,7,live
407,235,5241,progesterone receptor,progesterone receptor,PGR,PGR,\N,P06401,1,live,235,5241,progesterone receptor,progesterone receptor,PGR,PGR,\N,P06401,1,live
408,372,13982,estrogen receptor 1 (alpha),estrogen receptor 1 (alpha),Esr1,Esr1,\N,P19785,2,live,372,13982,estrogen receptor 1 (alpha),estrogen receptor 1 (alpha),Esr1,Esr1,\N,P19785,2,live
409,381,24208,androgen receptor,androgen receptor,Ar,Ar,\N,P15207,3,live,381,24208,androgen receptor,androgen receptor,Ar,Ar,\N,P15207,3,live
410,413,25672,"nuclear receptor subfamily 3, group C, member 2","nuclear receptor subfamily 3, group C, member 2",Nr3c2,Nr3c2,\N,P22199,3,live,413,25672,"nuclear receptor subfamily 3, group C, member 2","nuclear receptor subfamily 3, group C, member 2",Nr3c2,Nr3c2,\N,P22199,3,live
411,474,100135589,\N,sigma non-opioid intracellular receptor 1,\N,Sigmar1,provisional,Q60492,10,live,474,100135589,\N,sigma non-opioid intracellular receptor 1,\N,Sigmar1,provisional,Q60492,10,live
412,128,2280,"FK506 binding protein 1A, 12kDa","FK506 binding protein 1A, 12kDa",FKBP1A,FKBP1A,\N,P62942,1,live,128,2280,"FK506 binding protein 1A, 12kDa","FK506 binding protein 1A, 12kDa",FKBP1A,FKBP1A,\N,P62942,1,live
413,478,100714898,\N,"solute carrier family 6 (neurotransmitter transporter, dopamine), member 3",\N,Slc6a3,model,\N,10,live,478,100714898,\N,"solute carrier family 6 (neurotransmitter transporter, dopamine), member 3",\N,Slc6a3,model,\N,10,live
414,112,2030,"solute carrier family 29 (equilibrative nucleoside transporter), member 1","solute carrier family 29 (equilibrative nucleoside transporter), member 1",SLC29A1,SLC29A1,\N,Q99808,1,live,112,2030,"solute carrier family 29 (equilibrative nucleoside transporter), member 1","solute carrier family 29 (equilibrative nucleoside transporter), member 1",SLC29A1,SLC29A1,\N,Q99808,1,live
415,297,6531,"solute carrier family 6 (neurotransmitter transporter), member 3","solute carrier family 6 (neurotransmitter transporter), member 3",SLC6A3,SLC6A3,\N,Q01959,1,live,297,6531,"solute carrier family 6 (neurotransmitter transporter), member 3","solute carrier family 6 (neurotransmitter transporter), member 3",SLC6A3,SLC6A3,\N,Q01959,1,live
416,296,6530,"solute carrier family 6 (neurotransmitter transporter), member 2","solute carrier family 6 (neurotransmitter transporter), member 2",SLC6A2,SLC6A2,\N,P23975,1,live,296,6530,"solute carrier family 6 (neurotransmitter transporter), member 2","solute carrier family 6 (neurotransmitter transporter), member 2",SLC6A2,SLC6A2,\N,P23975,1,live
417,298,6532,"solute carrier family 6 (neurotransmitter transporter), member 4","solute carrier family 6 (neurotransmitter transporter), member 4",SLC6A4,SLC6A4,\N,P31645,1,live,298,6532,"solute carrier family 6 (neurotransmitter transporter), member 4","solute carrier family 6 (neurotransmitter transporter), member 4",SLC6A4,SLC6A4,\N,P31645,1,live
418,432,63997,"solute carrier family 29 (equilibrative nucleoside transporter), member 1","solute carrier family 29 (equilibrative nucleoside transporter), member 1",Slc29a1,Slc29a1,\N,O54698,3,live,432,63997,"solute carrier family 29 (equilibrative nucleoside transporter), member 1","solute carrier family 29 (equilibrative nucleoside transporter), member 1",Slc29a1,Slc29a1,\N,O54698,3,live
419,439,83511,"solute carrier family 6 (neurotransmitter transporter), member 2","solute carrier family 6 (neurotransmitter transporter), member 2",Slc6a2,Slc6a2,\N,\N,3,live,439,83511,"solute carrier family 6 (neurotransmitter transporter), member 2","solute carrier family 6 (neurotransmitter transporter), member 2",Slc6a2,Slc6a2,\N,\N,3,live
420,409,25553,"solute carrier family 6 (neurotransmitter transporter), member 4","solute carrier family 6 (neurotransmitter transporter), member 4",Slc6a4,Slc6a4,\N,P31652,3,live,409,25553,"solute carrier family 6 (neurotransmitter transporter), member 4","solute carrier family 6 (neurotransmitter transporter), member 4",Slc6a4,Slc6a4,\N,P31652,3,live
421,408,25549,"solute carrier family 18 (vesicular monoamine transporter), member 2","solute carrier family 18 (vesicular monoamine transporter), member 2",Slc18a2,Slc18a2,\N,Q01827,3,live,408,25549,"solute carrier family 18 (vesicular monoamine transporter), member 2","solute carrier family 18 (vesicular monoamine transporter), member 2",Slc18a2,Slc18a2,\N,Q01827,3,live
422,27,367,androgen receptor,androgen receptor,AR,AR,\N,P10275,1,live,303,6714,"SRC proto-oncogene, non-receptor tyrosine kinase","SRC proto-oncogene, non-receptor tyrosine kinase",SRC,SRC,\N,P12931,1,live
423,118,2100,estrogen receptor 2 (ER beta),estrogen receptor 2 (ER beta),ESR2,ESR2,\N,Q92731,1,live,118,2100,estrogen receptor 2 (ER beta),estrogen receptor 2 (ER beta),ESR2,ESR2,\N,Q92731,1,live
424,357,9971,"nuclear receptor subfamily 1, group H, member 4","nuclear receptor subfamily 1, group H, member 4",NR1H4,NR1H4,\N,Q96RI1,1,live,303,6714,"SRC proto-oncogene, non-receptor tyrosine kinase","SRC proto-oncogene, non-receptor tyrosine kinase",SRC,SRC,\N,P12931,1,live
425,287,6256,"retinoid X receptor, alpha","retinoid X receptor, alpha",RXRA,RXRA,\N,P19793,1,live,224,4929,"nuclear receptor subfamily 4, group A, member 2","nuclear receptor subfamily 4, group A, member 2",NR4A2,NR4A2,\N,P43354,1,live
426,250,5468,peroxisome proliferator-activated receptor gamma,peroxisome proliferator-activated receptor gamma,PPARG,PPARG,\N,P37231,1,live,303,6714,"SRC proto-oncogene, non-receptor tyrosine kinase","SRC proto-oncogene, non-receptor tyrosine kinase",SRC,SRC,\N,P12931,1,live
427,435,79915,"ATPase family, AAA domain containing 5","ATPase family, AAA domain containing 5",ATAD5,ATAD5,\N,Q96QE3,1,live,435,79915,"ATPase family, AAA domain containing 5","ATPase family, AAA domain containing 5",ATAD5,ATAD5,\N,Q96QE3,1,live
428,322,7068,"thyroid hormone receptor, beta","thyroid hormone receptor, beta",THRB,THRB,\N,P10828,1,live,322,7068,"thyroid hormone receptor, beta","thyroid hormone receptor, beta",THRB,THRB,\N,P10828,1,live
429,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,95,1591,"cytochrome P450, family 24, subfamily A, polypeptide 1","cytochrome P450, family 24, subfamily A, polypeptide 1",CYP24A1,CYP24A1,\N,Q07973,1,live
430,95,1591,"cytochrome P450, family 24, subfamily A, polypeptide 1","cytochrome P450, family 24, subfamily A, polypeptide 1",CYP24A1,CYP24A1,\N,Q07973,1,live,95,1591,"cytochrome P450, family 24, subfamily A, polypeptide 1","cytochrome P450, family 24, subfamily A, polypeptide 1",CYP24A1,CYP24A1,\N,Q07973,1,live
431,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,427,54205,"cytochrome c, somatic","cytochrome c, somatic",CYCS,CYCS,\N,P99999,1,live
432,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,236,5243,"ATP-binding cassette, sub-family B (MDR/TAP), member 1","ATP-binding cassette, sub-family B (MDR/TAP), member 1",ABCB1,ABCB1,\N,P08183,1,live
433,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,345,8647,"ATP-binding cassette, sub-family B (MDR/TAP), member 11","ATP-binding cassette, sub-family B (MDR/TAP), member 11",ABCB11,ABCB11,\N,O95342,1,live
434,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,354,9429,"ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)","ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)",ABCG2,ABCG2,\N,Q9UNQ0,1,live
435,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,7,60,"actin, beta","actin, beta",ACTB,ACTB,\N,P60709,1,live
436,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,77,1543,"cytochrome P450, family 1, subfamily A, polypeptide 1","cytochrome P450, family 1, subfamily A, polypeptide 1",CYP1A1,CYP1A1,\N,P04798,1,live
437,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,78,1544,"cytochrome P450, family 1, subfamily A, polypeptide 2","cytochrome P450, family 1, subfamily A, polypeptide 2",CYP1A2,CYP1A2,\N,P05177,1,live
438,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,82,1555,"cytochrome P450, family 2, subfamily B, polypeptide 6","cytochrome P450, family 2, subfamily B, polypeptide 6",CYP2B6,CYP2B6,\N,P20813,1,live
439,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,83,1557,"cytochrome P450, family 2, subfamily C, polypeptide 19","cytochrome P450, family 2, subfamily C, polypeptide 19",CYP2C19,CYP2C19,\N,P33261,1,live
440,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,85,1559,"cytochrome P450, family 2, subfamily C, polypeptide 9","cytochrome P450, family 2, subfamily C, polypeptide 9",CYP2C9,CYP2C9,\N,P11712,1,live
441,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,90,1576,"cytochrome P450, family 3, subfamily A, polypeptide 4","cytochrome P450, family 3, subfamily A, polypeptide 4",CYP3A4,CYP3A4,\N,P08684,1,live
442,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,138,2597,glyceraldehyde-3-phosphate dehydrogenase,glyceraldehyde-3-phosphate dehydrogenase,GAPDH,GAPDH,\N,P04406,1,live
